316
2127	8969	16
6592	6595	16
1973	14404	8
3490	3495	16
9373	9553	16
9302	12344	16
7147	23	16
476	4316	16
5562	16957	20
6187	15050	16
3467	8224	44
6187	15011	16
5225	13851	16
11000	15978	8
14070	16521	16
16992	17269	16
2192	10651	16
13918	13927	16
2192	10692	16
1702	13741	16
10887	10927	16
2127	8962	16
17406	14773	8
9373	9393	16
9373	9620	16
6261	6269	24
4394	12398	16
9373	9705	16
3274	13375	37
16750	5562	20
9373	9559	16
9302	12328	16
1182	14028	16
8760	8765	8
2192	10693	16
11469	16713	31
3590	8020	16
4395	15839	16
6592	6625	16
13918	13941	16
6187	14976	16
2556	2568	13
11469	16716	31
2192	10684	16
10226	8061	39
9373	9694	16
5225	17178	16
13586	14938	8
1182	14015	16
9373	9519	16
13468	13522	16
10887	10945	16
12165	17989	7
4393	14225	16
8760	8769	8
4919	4961	16
5719	5728	8
6592	6636	16
4189	842	50
6592	6620	16
9115	9117	13
2149	18037	16
9043	11179	16
6187	14980	16
2905	16550	16
3467	14437	8
9373	9532	16
1203	1231	8
3131	16356	49
7147	1867	16
11786	8539	8
13918	13923	16
11000	15976	8
14070	10929	16
6261	6262	24
3467	14409	8
10750	6447	26
6592	6650	16
10887	10894	16
3590	8083	16
2892	15114	16
3131	16329	49
1203	1223	8
4393	14239	16
3590	8044	16
3131	16367	49
3590	8038	16
6187	15000	16
2127	8969	16
3490	3500	16
14070	16528	16
10750	10751	26
9302	12326	16
6187	15023	16
17789	17790	8
3467	14382	8
4919	4952	16
8533	8538	8
6261	1110	24
9373	9708	16
4919	4952	16
9373	9427	16
14070	16532	16
2905	16568	16
3590	8025	16
8760	8778	8
3590	8049	16
1182	14014	16
9373	9829	16
9373	9419	16
9302	12363	16
13586	14940	8
13586	14423	8
9373	9387	16
1554	3425	40
2127	8956	16
1973	8767	8
12865	12864	56
2892	15102	16
11468	16727	37
16007	16009	46
13586	8765	8
3131	16344	49
2127	8961	16
6274	1600	34
1203	1224	8
9373	9696	16
11344	11346	31
9302	12324	16
13918	13930	16
2192	10700	16
9373	9836	16
13468	13513	16
501	12771	16
9373	9821	16
3590	8089	16
17924	17931	56
501	12794	16
4919	4942	16
5225	17180	16
3490	3492	16
18137	18143	7
6187	15028	16
2192	3240	16
2127	8975	16
10887	10923	16
8922	1005	7
9373	9474	16
9373	9586	16
9373	9709	16
4395	15838	16
14802	8637	16
9373	9761	16
6187	14998	16
6187	14983	16
476	4310	16
9373	9730	16
3418	3423	15
9373	9734	16
16007	16015	46
1182	14029	16
9373	9680	16
14773	17710	8
13918	13924	16
15509	15905	26
501	12626	16
18137	18142	7
16773	16777	51
10887	10909	16
1973	14408	8
6187	15020	16
9373	9683	16
9373	9596	16
3274	13372	37
10887	10928	16
2192	10708	16
1698	14762	16
3467	8767	8
501	12781	16
12277	12278	32
13918	13921	16
16494	17512	39
2192	10649	16
2127	8989	16
16992	17277	16
2127	8981	16
9373	9589	16
6592	6606	16
9373	9467	16
1182	14026	16
3590	8110	16
3467	8786	8
9373	9525	16
2127	8973	16
16992	13998	16
4919	3522	16
3131	16320	49
14773	17699	8
2556	2557	13
9373	9500	16
2149	18079	16
10887	10907	16
6261	6273	24
2127	8966	16
3131	16330	49
501	12788	16
5225	17170	16
9043	11164	16
5613	3423	31
4919	3509	16
17763	17947	26
2905	16556	16
2192	10665	16
9373	9748	16
6261	6281	24
9043	11169	16
9373	9783	16
9302	12354	16
2905	16551	16
6592	6594	16
2127	8977	16
18099	6714	60
9373	9492	16
476	4312	16
3590	8091	16
1554	15404	13
4394	12394	16
2149	18058	16
17789	17793	8
1203	1226	8
16773	14405	51
2192	10701	16
9373	9507	16
6795	18177	8
1698	14755	16
9373	9554	16
9373	9475	16
2192	10698	16
3590	8067	16
10226	18183	39
5225	17171	16
9373	9546	16
15902	15905	26
2905	16581	16
476	4313	16
2149	18042	16
6187	14977	16
17915	17919	8
17774	17776	8
11344	11348	31
4919	4931	16
6187	15029	16
1702	13727	16
5719	5729	8
6187	15026	16
11000	15962	8
9373	9485	16
3467	14399	8
1702	13725	16
1203	1206	8
3131	16405	49
2905	16548	16
4395	15834	16
6261	6276	24
3274	13354	37
1096	15278	16
14319	14330	8
5718	16297	7
9302	12368	16
9373	9704	16
16945	16947	52
9373	9615	16
9043	11168	16
14082	14528	16
5613	11472	31
16992	17268	16
1182	14007	16
5225	17170	16
9373	9423	16
2556	2571	13
6592	6643	16
9373	9505	16
1182	14023	16
14773	17690	8
6187	14996	16
2127	8961	16
9373	9399	16
3590	8082	16
9373	9800	16
1182	14010	16
2892	15104	16
4393	14249	16
9373	9502	16
15538	16913	30
3131	16352	49
8922	1554	7
501	12774	16
3590	8102	16
501	12787	16
14082	14533	16
6187	14990	16
11344	11345	31
9373	9690	16
2556	2577	13
1554	18130	40
3131	16333	49
6592	6610	16
2192	10680	16
9373	9431	16
8768	16797	8
3590	8018	16
3590	8043	16
14169	14172	39
1702	13743	16
14070	16524	16
9373	9740	16
